case_id,reference_prescription,symptom_text_zh,selected_symptoms,source_symptom_pool,source_column,disease_column_used,random_seed
S001,小续命汤,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,便秘 | 口干舌燥 | 湿邪引起的症状 | 肺热引起的症状 | 阳虚引起的症状,感冒 | 肺热引起的咳嗽 | 水肿 | 风寒 | 元气不足 | 心慌心跳 | 心悸不安 | 口干舌燥 | 脾胃虚弱 | 湿热引起的症状 | 火毒引起的症状 | 出血 | 阳虚引起的症状 | 血瘀痛经 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛不适 | 肝气不舒 | 月经失调 | 多汗 | 血瘀引起的症状 | 气滞引起的不适 | 风寒引起的不适 | 咳嗽 | 哮喘 | 便秘 | 肺热引起的症状 | 肾阳虚引起的症状 | 寒湿引起的疼痛 | 湿邪引起的症状 | 痉挛 | 恶心呕吐,Symptom,No,20260711
S002,当归饮子,风邪引起的症状、瘙痒、多汗,风邪引起的症状 | 瘙痒 | 多汗,血虚 | 月经失调 | 疼痛 | 便秘 | 肝气不畅引起的疼痛 | 多汗 | 血瘀引起的症状 | 气滞引起的不适 | 风邪引起的症状 | 肾精不足 | 阴虚 | 肝气郁结 | 瘙痒 | 湿邪引起的症状 | 痉挛 | 风寒引起的不适 | 疹痒 | 出血 | 毒素引起的症状 | 肿痛 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛不适 | 恶心呕吐 | 水肿,Symptom,No,20260712
S003,清心莲子饮,脾气虚弱、脾胃虚弱、口干舌燥、出血,脾气虚弱 | 脾胃虚弱 | 口干舌燥 | 出血,湿热引起的症状 | 火毒引起的症状 | 出血 | 阴虚 | 肺燥引起的咳嗽 | 血热引起的症状 | 肺热引起的咳嗽 | 虚热引起的不适 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛不适 | 脾虚引起的症状 | 肾虚引起的症状 | 心悸不安 | 精神不安 | 水肿 | 脾胃虚弱 | 元气不足 | 心慌心跳 | 口干舌燥 | 多汗 | 毒素引起的症状,Symptom,No,20260713
S004,地黄饮子,风邪引起的症状、寒湿引起的疼痛、肾阳虚引起的症状,风邪引起的症状 | 寒湿引起的疼痛 | 肾阳虚引起的症状,肾精不足 | 血虚 | 阴虚 | 肾阳虚引起的症状 | 筋骨无力 | 风邪引起的症状 | 肝肾不足引起的症状 | 遗精 | 腹泻 | 水肿 | 脾胃虚弱 | 心悸不安 | 胃虚引起的不适 | 口干舌燥 | 精血不足 | 便秘 | 脾胃虚寒 | 阳气不足 | 寒湿引起的疼痛 | 多汗 | 气虚 | 疼痛 | 经络不畅 | 肺燥引起的咳嗽 | 心火旺盛 | 湿邪引起的症状 | 痰瘀阻窍引起的症状 | 肿痛 | 神志不清 | 痰湿引起的症状 | 肿胀 | 风热引起的症状 | 头晕 | 视力模糊 | 疹出不畅 | 咳嗽多痰 | 恶心呕吐 | 风寒感冒 | 气血不足,Symptom,No,20260714
S005,清金化痰汤,肺燥引起的咳嗽、热盛引起的烦躁、脾胃虚弱,肺燥引起的咳嗽 | 热盛引起的烦躁 | 脾胃虚弱,湿热引起的症状 | 出血 | 热盛引起的烦躁 | 小便不利 | 血液热毒引起的症状 | 咽喉疼痛 | 阴虚 | 肺燥引起的咳嗽 | 心火旺盛 | 肺热引起的咳嗽 | 水肿 | 呼吸不畅 | 痰湿引起的症状 | 气滞引起的不适 | 热毒引起的症状 | 口干舌燥 | 便秘 | 心血管疾病 | 寒湿引起的脾胃不适 | 脾胃虚弱 | 心悸不安 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛不适,Symptom,No,20260715
S006,清肺汤,寒湿引起的脾胃不适、心悸不安、心火旺盛、便秘,寒湿引起的脾胃不适 | 心悸不安 | 心火旺盛 | 便秘,湿热引起的症状 | 火毒引起的症状 | 出血 | 流产 | 肺热引起的咽喉疼痛 | 水肿 | 脾胃虚弱 | 心悸不安 | 痰湿引起的症状 | 寒湿引起的脾胃不适 | 痰湿引起的结节 | 气滞引起的不适 | 咳嗽多痰 | 肺热引起的症状 | 血虚 | 月经失调 | 疼痛 | 便秘 | 阴虚 | 心火旺盛 | 火热引起的烦躁 | 小便不利 | 血液热毒引起的症状 | 咳嗽 | 哮喘 | 肺燥引起的咳嗽 | 气虚引起的水肿 | 肾虚引起的头晕失眠 | 脾气虚弱 | 肌肉抽搐 | 药物相互作用 | 恶心呕吐 | 风寒感冒 | 寒湿引起的疼痛 | 气血不足 | 失眠不安 | 气血两虚症状,Symptom,No,20260716
S007,半夏白术天麻汤,寒湿引起的脾胃不适、水肿、恶心呕吐、脾胃虚弱,寒湿引起的脾胃不适 | 水肿 | 恶心呕吐 | 脾胃虚弱,呕吐 | 痰湿引起的结块 | 气滞引起的不适 | 肝阳上亢引起的症状 | 风寒引起的不适 | 水肿 | 脾胃虚弱 | 心悸不安 | 痰湿引起的症状 | 寒湿引起的脾胃不适 | 脾气虚弱 | 流产 | 咳嗽多痰 | 肌肉抽搐 | 疼痛 | 药物相互作用 | 恶心呕吐 | 风寒感冒 | 气血两虚,Symptom,No,20260717
S008,宣郁通经汤,痛经、咳嗽多痰、血瘀引起的症状、血热症状,痛经 | 咳嗽多痰 | 血瘀引起的症状 | 血热症状,肝郁气滞 | 痛经 | 多汗 | 血虚 | 月经失调 | 疼痛 | 便秘 | 热毒引起的症状 | 血瘀引起的症状 | 火热引起的烦躁 | 小便不利 | 血热症状 | 咳嗽多痰 | 炎症 | 细菌感染 | 脾气虚弱 | 肌肉抽搐 | 药物相互作用 | 发热 | 肝气不舒 | 阳气不足 | 流产 | 气滞血瘀 | 湿热 | 出血,Symptom,No,20260718
S009,桂枝芍药知母汤,风湿性疾病、痉挛、疼痛、多汗,风湿性疾病 | 痉挛 | 疼痛 | 多汗,风寒感冒 | 肢体麻木 | 阳气不足 | 肝郁气滞 | 月经失调 | 多汗 | 脾胃虚弱 | 热毒引起的症状 | 咳嗽多痰 | 肌肉抽搐 | 疼痛 | 肺热引起的咳嗽 | 水肿 | 恶心呕吐 | 易流产 | 口干舌燥 | 便秘 | 风湿性疾病 | 肢体疼痛 | 痉挛 | 内脏阳气不足 | 精神不安,Symptom,No,20260719
S010,厚朴麻黄汤,呕吐、虚汗、气喘,呕吐 | 虚汗 | 气喘,痰湿 | 胸腹胀 | 风寒感冒 | 哮喘 | 水肿 | 热毒引起的症状 | 肿胀 | 口干舌燥 | 咳嗽 | 气喘 | 便秘 | 呕吐 | 痞块 | 中焦寒湿 | 气虚 | 阳气不足 | 脾阳弱 | 关节疼痛 | 心悸不安 | 虚汗,Symptom,No,20260720
