"id","herb"
"1","茯苓（Poria Cocos(Schw.) Wolf ）"
"2","桂枝 (Cinnamomi Ramulus)"
"3","白术(Atractylodes Macrocephala Koidz)"
"4","甘草(licorice  )"
"5","当归(Angelicae Sinensis Radix)"
"6","川芎(Chuanxiong Rhizoma)"
"7","白芍(Paeoniae Radix Alba)"
"8","牡丹皮（Cortex Moutan）"
"9","莪术(Curcumae Rhizoma)"
"10","人参(Panax Ginseng C. A. Mey.)"
"11","牛膝(Achyranthis Bidentatae Radix)"
"12","北沙参（Glehniae Radix）"
"13","枸杞子( Lycii Fructus)"
"14","麦冬（Ophiopogon japonicus）"
"15","地黄(Rehmanniae Radix Praeparata)"
"16","川楝子(Toosendan Fructus）"
"17","桃仁（Persicae Semen）"
"18","红花（Carthami Flos）"
"19","黄芪（Hedysarum Multijugum Maxim）"
"20","知母（Anemarrhenae Rhizoma）"
"21","柴胡（Radix Bupleuri）"
"22","桔梗（Platycodon Grandiforus）"
"23","升麻（Cimicifugae Rhizoma）"
"24","枇杷叶(Eriobotryae Folium)"
"25","黄连(Coptidis Rhizoma)"
"26","桑白皮(Mori Cortex)"
"27","黄柏(Phellodendri Chinrnsis Cortex)"
"28","天冬(Asparagi Radix)"
"29","天花粉(Trichosanthis Radix)"
"30","黄芩(Scutellariae Radix)"
"31","荷叶(Folium Nelumbinis)"
"32","大黄（Radix Rhei Et Rhizome）"
"33","半夏（Arum Ternatum Thunb）"
"34","干姜(Zingiberis Rhizoma)"
"35","大枣(Jujubae Fructus)"
"36","生姜( Zingiber Officinale Roscoe)"
"37","附子(Aconiti Lateralis Radix Praeparata)"
"38","瓜蒌（Trichosanthes Kirilowii Maxim）"
"39","薤白( Allium Azureum Ledeb.)"
"40","黄酒(Huangjiu)"
"41","花椒（Zanthoxyli Pericarpium）"
"42","胶饴（Maltose Syrup）"
"43","粳米（Japonica Rice）"
"44","竹茹（Caulis Bambusae in taeniam）"
"45","枳实（Aurantii Fructus Immaturus）"
"46","陈皮(Citrus Reticulata)"
"47","麻黄（Ephedra Herba）"
"48","防己(Stephaniae Tetrandrae Radix)"
"49","肉桂（Cinnanmomi Cortex  ）"
"50","苦杏仁（Amygdalus Communis Vas）"
"51","防风（Saposhnikoviae Radix）"
"52","远志（ Radix Polygalae）"
"53","石菖蒲（Acoritataninowii Rhizoma ）"
"54","蒺藜（Tribulifructus）"
"55","荆芥穗（Schizonepetae Spica）"
"56","何首乌（ Radix Polygoni multiflori）"
"57","地骨皮（Lycii Cortex）"
"58","车前子（Plantaginis Semen）"
"59","莲子（Semen Nelumbinis）"
"60","羌活（Notopterygii Rhizoma Et Radix）"
"61","独活（Radix Angelicae Biseratae）"
"62","蔓荆子（Viticis Fructus）"
"63","藁本（Ligustici Rhizoma Et Radix）"
"64","熟地黄（Rehmanniae Radix Praeparata）"
"65","巴戟天（Morindae Officinalis Radix）"
"66","山茱萸（Cornus Officinalis Sieb. Et Zucc）"
"67","石斛（ Herba Dendrobii）"
"68","肉苁蓉（Cistanches Herba）"
"69","五味子（Fructus Schisandrae）"
"70","远志（Radix Polygalae）"
"71","薄荷（ Menthae Herba）"
"72","栀子（Gardeniae Fructus）"
"73","浙贝母（Fritillariae Thunbrgii Bulbus）"
"74","瓜蒌子（Trichosanthes kirilowii ）"
"75","橘红（Citri Exocarpium Rubrum）"
"76","枳壳（Aurantii Fructus）"
"77","泽泻（Alisma Orientale (Sam.) Juz）"
"78","天麻（Rhizoma Gastrodiae）"
"79","山药（Rhizoma Dioscoreae）"
"80","芡实（Euryales Semen）"
"81","白果（Ginkgo Semen ）"
"82","白芥子（Sinapis alba L. ）"
"83","香附（Cyperi Rhizoma ）"
"84","姜黄（Curcumaelongae Rhizoma ）"
"85","广藿香（Pogostemon Cablin (Blanco) Benth）"
"86","石膏（Gypsum）"
"87","蜂蜜（ Mel）"
"88","木香（Aucklandiae Radix）"
"89","葛根（Radix Puerariae）"
"90","砂仁（Amomum Aurantiacum H. T. Tsai Et S. W. Zhao）"
"91","六神曲（Medicated Leaven）"
"92","麦芽（Hordei Fructus Germinatus）"
"93","紫苏子（Perillae Fructus）"
"94","葶苈子（ Lepidii Semen Descurainiae Semen ）"
"95","赤茯苓（ Poria）"
"96","竹叶（Folium Bambusae）"
"97","厚朴（Magnolia Officinalis Rehd Et Wils．）"
"98","细辛（Asari Radix Et Rhizoma）"
"99","木通（Caulis Akebiae   ）"
"100","紫苏叶（Folium Perillae/Perilla leaf）"
"101","百合（Lilii Bulbus）"
"102","小麦（Semen Tritici aestivi）"
"103","槐花（Sophora Japonica L. ）"
"104","侧柏叶（Platycladi Cacumen）"
"105","草豆蔻（Semen Alpiniae katsumadai）"
"106","续断（Dipsaci Radix）"
"107","青皮（Citri Reticulatae Pericarpium Viride)"
"108","菟丝子（Cuscutae Semen）"
"109","银柴胡（Gypsophila Licentiana Hand.-Mazz.）"
"110","胡黄连（Picrorhizae Rhizoma）"
"111","秦艽（Gentiana Macrophylla Pall）"
"112","鳖甲（Carapax Trionycis）"
"113","青蒿（Artemisia Annua L.）"
"114","槟榔（Arecae Semen）"
"115","草果（Amomum Tsao-Ko Crevostet）"
"116","南沙参（Adenophprae Ae Radix ）"
"117","玉竹（Polygonati Odorati Rhizoma）"
"118","桑叶（Mori Follum）"
"119","白扁豆（Lablab Semen Album）"
"120","苍术（Atractylodes Lancea (Thunb.)Dc.）"
"121","荆芥穗炭（Schizonepeta tenuifolia）"
"122","没药（Myrrha）"
"123","五灵脂（Oletum Trogopterori）"
"124","地龙（ Allolobophora caliginosa trapezoides）"
"125","金银花（Lonicerae Japonicae Flos）"
"126","野菊花（Chrysanthemi Indici Flos）"
"127","蒲公英（Taraxacum officinale）"
"128","紫花地丁（Violsse Herba ）"
"129","紫背天葵子（Semiaquilegiae Radix）"
"130","郁李仁（Semen Pruni    ）"
"131","白芷（A. Dahurica (Fisch.) Benth. Et Hook ）"
"132","旋覆花（Inulae Flos）"
"133","代赭"
"134","吴茱萸（Evodiae Fructus）"
"135","猪苓（Polyporus Umbellatus(Pers)Fr.）"
"136","阿胶（Colla corii Asini）"
"137","滑石（ Native Gold）"
"138","辛夷（Magnoliae Flos）"
"139","木瓜（ Chaenomeles Sinensis (Thouin) Koehne）"
"140","茵陈蒿（ Plantula Artemisiae capillaris）"
"141","杜仲（Eucommiae Cortex）"
"142","乌药（Linderae Radix ）"
"143","小茴香（Foeniculi Fructus ）"
"144","皂角刺（Gleditsiae Spina）"
"145","决明子（Cassiae Semen）"
"146","牡蛎（ Concha Ostreae）"
"147","麻仁（Cannabis Sativa L.）"
"148","生鳖甲（Trionycis Carapax）"
"149","生龟板（Testudinis Carapax et Plastrum）"
"150","香薷（Moslae Herba）"
"151","连翘（Forsythiae Fructus）"
"152","海风藤（Caulis Piperis Kadsurae）"
"153","桑枝（Ramulus Mori ）"
"154","乳香（Olibanun ）"
"155","丁香（Caryophylliflos）"
"156","柿蒂（ Kaki Calyx ）"
"157","玄参（Figwort Root ）"
"158","亚麻子（Semen Lini  ）"
"159","槐角（Fructussophorae）"
"160","地榆（Radix Sanguisorbae）"
"161","淡豆豉（Sojae Semen Praeparatum）"
"162","芒硝（Natrii Sulfas）"
"163","薏苡仁（Coicis Semen ）"
"164","败酱草（Herba Patriniae）"
"165","射干（ Belamcandae Rhizome）"
"166","紫菀（ Asteris Radix Et Rhizoma  ）"
"167","款冬花（Farfarae Flos）"
"168","丹参（Radix Salviae）"
"169","前胡（Peucedani Radix）"
"170","天南星（Arisaematis Rhizoma）"
"171","茶叶（Folium Camelliae sinensis）"
"172","牛蒡子（Fructus Arctii）"
"173","板蓝根（Isatidis Radix）"
"174","马勃（Lasiosphaera Seu Calvatia）"
"175","白僵蚕（ Beauveria bassiana bassiana (Bals.) Vaillant）"
"176","沉香（ Linderae Radix）"
"177","赤芍（ Radix Paeoniae Rubra）"
"178","苏木（ Lignum Sappan）"
"179","茜草（ Rubia Cordifolia  ）"
"180","鹿角胶"
"181","白鲜皮（Dictamni Cortex）"
"182","蝉蜕（Cicadae Periostracum）"
"183","酸枣仁（Ziziphi Spinosae Semen）"
"184","蚕沙（Bombyx Mori L.）"
"185","赤小豆（Phaseoli Semen）"
"186","麝香（Mochus）"
"187","延胡索（Corydalis Rhizoma）"
"188","芦根（Phragmitis Rhizoma）"
"189","桑寄生（Herba Taxilli）"
"190","党参（Codonopsis Radix）"
"191","三棱（Sparganii Rhizoma）"
