case_id,symptom_text_zh,reference_prescription,herb,molecules,herb_prescriptions,herb_functions
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,麻黄（Ephedra Herba）,C1=CC(=CC=C1C2C(C(C3=C(C=C(C=C3O2)O)O)O)O)O | C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O | C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O | C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O | C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,小续命汤 | 麻黄汤 | 桂枝芍药知母汤 | 厚朴麻黄汤 | 华盖散 | 麻黄细辛附子汤 | 桂枝麻黄各半汤 | 射干麻黄汤 | 越婢汤 | 麻黄杏仁薏苡甘草汤 | 牡蛎散 | 五虎汤 | 阳和汤,"It has the effects of inducing sweating to disperse cold, diffusing the lungs to relieve wheezing, and promoting diuresis to reduce edema."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,防己(Stephaniae Tetrandrae Radix),CC(=O)OC[C@H]1CC[C@@H]2[C@H]([C@]3([C@]1(CCC3=O)O)C)OC(=O)C2=C | COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O | CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,小续命汤 | 防己黄芪汤 | 防己茯苓汤 | 宣痹汤,"It has the effects of dispelling wind and eliminating dampness, promoting diuresis to reduce edema, and alleviating pain."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,人参(Panax Ginseng C. A. Mey.),C1[C@H]2[C@@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5 | C1CCN(CCCNC(=O)C[C@H](NC1)C2=CC=CC=C2)C(=O)C3=CC=CC=C3 | C1=CC=C2C(=C1)C3=C(C(=O)C4=CC=CC=C4O3)C(=O)O2 | CC1=CC2=C(C3=C1OC(C=C3)(C)C)NC4=CC=CC=C42 | COC1=C(C=C(C=C1)C[C@@H]\2COC(=O)/C2=C/C3=CC4=C(C=C3)OCO4)OC,温经汤 | 枇杷清肺饮 | 二冬汤 | 半夏泻心汤 | 大建中汤 | 麦门冬汤 | 小续命汤 | 开心散 | 清心莲子饮 | 保元汤 | 异功散 | 白术散 | 人参五味子汤 | 竹叶石膏汤 | 升阳益胃汤 | 固阴煎 | 完带汤 | 旋覆代赭汤 | 吴茱萸汤 | 黄连汤 | 附子汤 | 橘皮竹茹汤 | 温脾汤 | 三痹汤 | 圣愈汤 | 托里消毒散 | 养胃汤 | 丁香柿蒂散 | 清燥救肺汤 | 柴胡桂枝汤 | 桂枝人参汤 | 生姜泻心汤 | 白虎加人参汤 | 生姜甘草汤 | 延年薯蓣酒 | 六和汤 | 门冬清肺饮 | 普济消毒饮子 | 大补元煎 | 举元煎 | 泰山磐石散 | 解郁汤 | 固本止崩汤,"It has the effects of greatly tonifying primordial qi, restoring pulses and securing collapse, tonifying the spleen and nourishing the lungs, promoting fluid production, and tranquilizing the mind."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,黄芩(Scutellariae Radix),COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O | COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3O)OC | COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=C(C=C3)O)O)O,二冬汤 | 半夏泻心汤 | 小续命汤 | 清心莲子饮 | 清金化痰汤 | 清肺汤 | 宣郁通经汤 | 当归六黄汤 | 保阴煎 | 达原饮 | 甘草泻心汤 | 甘露饮 | 大秦艽汤 | 桑白皮汤 | 清上蠲痛汤 | 凉血地黄汤 | 黄芩汤 | 附子泻心汤 | 柴胡桂枝汤 | 柴胡桂枝干姜汤 | 生姜泻心汤 | 当归散 | 泻心汤 | 芍药汤 | 普济消毒饮子 | 羌活胜风汤 | 茜根散 | 泰山磐石散 | 滋阴降火汤 | 清胃汤 | 柴葛解肌汤 | 柴胡清肝汤 | 凉血四物汤 | 柴胡陷胸汤,"It has the effects of clearing heat and drying dampness, purging fire and detoxifying, stopping bleeding, and preventing miscarriage."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,肉桂（Cinnanmomi Cortex ）,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O | C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2 | CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C | CCCCCCCC/C=C\CCCCCCCC(=O)O | C[C@H](C[C@@H]([C@@H]1C(O1)(C)C)OC(=O)C)C2=C3C[C@@H]([C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4([C@]3(CC2)C)C)(C)C)C)O,小续命汤 | 地黄饮子 | 保元汤 | 当归建中汤 | 三痹汤 | 暖肝煎 | 蠲痹汤 | 除湿胃苓汤 | 温脾丸 | 苏子降气汤 | 茵陈术附汤 | 阳和汤,"It has the effects of tonifying fire to assist yang, guiding fire back to its origin, dispersing cold to relieve pain, and activating blood circulation to unblock menstruation."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,甘草(licorice ),CC(=CCC1=C(C2=C(C=C1O)OC(=O)C3=C2OC4=C3C=CC(=C4)O)OC)C | CC1(C=CC2=C(O1)C=CC3=C2OC[C@@H]4[C@H]3OC5=C4C=CC(=C5)O)C | CC1(CCC2=C(O1)C=C3C(=C2OC)C=C(C(=O)O3)C4=C(C=C(C=C4)O)O)CO | CC1(C=CC2=C(O1)C=CC(=C2O)C3COC4=C(C3=O)C(=CC(=C4)O)OC)C | CC(=CCC1=C(C=CC2=C1OC(=O)C3=C2OC4=C3C=CC(=C4)O)O)C,苓桂术甘汤 | 温经汤 | 枇杷清肺饮 | 二冬汤 | 桃核承气汤 | 芍药甘草汤 | 半夏泻心汤 | 麦门冬汤 | 温胆汤 | 小续命汤 | 当归饮子 | 泻白散 | 清心莲子饮 | 羌活胜湿汤 | 清金化痰汤 | 金水六君煎 | 清肺汤 | 保元汤 | 半夏白术天麻汤 | 宣郁通经汤 | 异功散 | 泻黄散 | 白术散 | 消乳丸 | 人参五味子汤 | 清宁散 | 竹叶石膏汤 | 麻黄汤 | 当归四逆汤 | 桂枝芍药知母汤 | 当归建中汤 | 升阳益胃汤 | 厚朴温中汤 | 保阴煎 | 固阴煎 | 清骨散 | 达原饮 | 沙参麦冬汤 | 完带汤 | 身痛逐瘀汤 | 散偏汤 | 旋覆代赭汤 | 甘草泻心汤 | 黄连汤 | 橘皮竹茹汤 | 甘姜苓术汤 | 厚朴七物汤 | 温脾汤 | 竹茹汤 | 辛夷散 | 实脾散 | 甘露饮 | 华盖散 | 三痹汤 | 乌药汤 | 大秦艽汤 | 托里消毒散 | 清上蠲痛汤 | 养胃汤 | 石决明散 | 三甲复脉汤 | 蠲痹汤 | 四妙勇安汤 | 除湿胃苓汤 | 清燥救肺汤 | 凉血地黄汤 | 桂枝甘草汤 | 栀子柏皮汤 | 黄芩汤 | 茯苓桂枝甘 草大枣汤 | 柴胡桂枝汤 | 通脉四逆汤 | 桂枝加厚朴杏子汤 | 桂枝麻黄各半汤 | 柴胡桂枝干姜汤 | 桂枝人参汤 | 生姜泻心汤 | 白虎加人参汤 | 调胃承气汤 | 桔梗汤 | 防己黄芪汤 | 苓甘五味姜辛汤 | 防己茯苓汤 | 越婢汤 | 麻黄杏仁薏苡甘草汤 | 瓜蒌桂枝汤 | 生姜甘草汤 | 苏子降气汤 | 香苏散 | 升麻葛根汤 | 平胃散 | 六和汤 | 五虎汤 | 芍药汤 | 门冬清肺饮 | 普济消毒饮子 | 羌活胜风汤 | 牛蒡甘桔汤 | 大补元煎 | 左归饮 | 举元煎 | 茜根散 | 泰山磐石散 | 滋阴降火汤 | 清胃汤 | 调肝汤 | 柴葛解肌汤 | 茵陈术附汤 | 阳和汤 | 柴胡清肝汤 | 地黄饮 | 凉血四物汤 | 膈下逐瘀汤 | 会厌逐瘀汤,"It has the effects of tonifying the spleen and replenishing qi, clearing heat and detoxifying, dispelling phlegm and stopping cough, relieving spasm and alleviating pain, as well as harmonizing the actions of other herbs."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,白芍(Paeoniae Radix Alba),C[C@@]12CC(=O)[C@H]3C[C@@]1(O[C@@H]([C@@H]3COC(=O)C4=CC=CC=C4)O2)O | C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O | C[C@]12C[C@H]([C@@H]3C[C@]1([C@@]3(C(=O)O2)COC(=O)C4=CC=CC=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O | CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,温经汤 | 桃红四物汤 | 芍药甘草汤 | 真武汤 | 黄芪桂枝五物汤 | 小续命汤 | 当归饮子 | 宣郁通经汤 | 当归四逆汤 | 桂枝芍药知母汤 | 当归建中汤 | 升阳益胃汤 | 保阴煎 | 化肝煎 | 达原饮 | 完带汤 | 散偏汤 | 附子汤 | 三痹汤 | 大秦艽汤 | 托里消毒散 | 三甲复脉汤 | 清经散 | 清肝止淋汤 | 两地汤 | 黄芩汤 | 柴胡桂枝汤 | 桂枝加厚朴杏子汤 | 桂枝麻黄各半汤 | 当归散 | 枳实芍药散 | 瓜蒌桂枝汤 | 升麻葛根汤 | 芍药汤 | 门冬清肺饮 | 泰山磐石散 | 滋阴降火汤 | 解郁汤 | 养精种玉汤 | 定经汤 | 调肝汤 | 滋水清肝饮,"It has the effects of pacifying the liver to relieve pain, nourishing blood to regulate menstruation, and astringing yin to stop sweating."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,川芎(Chuanxiong Rhizoma),CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC | C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=CC=C(O4)CO | CC1=CC(=O)C=C(C1=O)C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C | C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N | COC1=C2C=C(CCCCC(=O)CCC3=CC2=C(C=C3)O)C(=C1OC)O,温经汤 | 桃红四物汤 | 小续命汤 | 当归饮子 | 羌活胜湿汤 | 身痛逐瘀汤 | 散偏汤 | 辛夷散 | 三痹汤 | 圣愈汤 | 大秦艽汤 | 托里消毒散 | 清上蠲痛汤 | 蠲痹汤 | 当归散 | 佛手散 | 羌活胜风汤 | 牛蒡甘桔汤 | 泰山磐石散 | 滋阴降火汤 | 柴胡清肝汤 | 四物消风饮 | 凉血四物汤 | 通窍活血汤 | 膈下逐瘀汤,"It has the effects of activating blood circulation, promoting qi movement, dispelling wind, and relieving pain."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,苦杏仁（Amygdalus Communis Vas）,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O | CC(=CCC1=C(C2=C(C=C1O)OC(=O)C3=C2OC4=C3C=CC(=C4)O)OC)C | C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H]7[C@@](C[C@@H](O[C@@]78C[C@]6([C@@]5(CC[C@H]4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O | C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,小续命汤 | 清肺汤 | 麻黄汤 | 厚朴麻黄汤 | 华盖散 | 桑白皮汤 | 清燥救肺汤 | 桂枝加厚朴杏子汤 | 桂枝麻黄各半汤 | 麻黄杏仁薏苡甘草汤 | 六和汤 | 五虎汤 | 宣痹汤,"It has the effects of stopping cough and calming wheezing, moistening intestines to relieve constipation, and diffusing the lungs to release the exterior."
S001,便秘、口干舌燥、湿邪引起的症状、肺热引起的症状、阳虚引起的症状,小续命汤,附子(Aconiti Lateralis Radix Praeparata),C[C@@]12CC[C@H]([C@@]([C@@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)(C)CO)O | CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6O)OC)O)O)C | COC1=C(OC2=C(C1=O)C=CC3=C2C=CO3)C4=CC=CC=C4 | CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6O)OC)O)O)COC,真武汤 | 小续命汤 | 地黄饮子 | 桂枝芍药知母汤 | 附子汤 | 温脾汤 | 实脾散 | 乌药汤 | 麻黄细辛附子汤 | 附子泻心汤 | 通脉四逆汤 | 大黄附子汤 | 薏苡附子败酱散 | 温脾丸 | 香苏散 | 茵陈术附汤,"It has the effects of tonifying the life-gate fire, warming and transforming cold-dampness, restoring yang, supplementing yang, and strengthening spleen yang."
